GB-RDG,,2020-05-17,-81,-32,72,-77,-43,
GB-RDG,,2020-05-18,-72,-21,,-79,-69,28
GB-RDG,,2020-05-19,-73,-20,,-80,-68,28
GB-RDG,,2020-05-20,-75,-19,,-79,-68,28
GB-RDG,,2020-05-21,-75,-18,,-79,-67,28
GB-RDG,,2020-05-22,-75,-20,,-77,-66,28
GB-RDG,,2020-05-23,-81,-27,17,-78,-42,
GB-RDG,,2020-05-24,-80,-28,88,-74,-40,
GB-RDG,,2020-05-25,-75,-23,,-81,-82,28
GB-RDG,,2020-05-26,-71,-17,,-78,-67,26
GB-RDG,,2020-05-27,-72,-19,,-78,-66,27
GB-RDG,,2020-05-28,-71,-15,,-78,-66,27
GB-RDG,,2020-05-29,-72,-15,,-75,-64,26
GB-RDG,,2020-05-30,-78,-23,86,-74,-32,
GB-RDG,,2020-05-31,-76,-26,108,-73,-28,
GB-RDG,,2020-06-01,-66,-14,,-74,-63,24
GB-RDG,,2020-06-02,-68,-18,,-74,-62,25
GB-RDG,,2020-06-03,-71,-22,17,-77,-63,27
GB-RDG,,2020-06-04,-69,-19,,-77,-63,27
GB-RDG,,2020-06-05,-69,-18,62,-73,-61,26
GB-RDG,,2020-06-06,-77,-28,-18,-75,-34,
GB-RDG,,2020-06-07,-74,-27,58,-70,-27,
GB-RDG,,2020-06-08,-65,-15,,-74,-62,25
GB-RDG,,2020-06-09,-67,-21,,-76,-60,26
GB-RDG,,2020-06-10,-70,-24,,-77,-61,27
GB-RDG,,2020-06-11,-67,-18,36,-77,-61,27
GB-RDG,,2020-06-12,-69,-20,18,-75,-59,26
